x y z
-3.5 -3.5 2.5495097568
-3.25 -3.5 2.30488611432
-3.0 -3.5 2.06155281281
-2.75 -3.5 1.82002747232
-2.5 -3.5 1.58113883008
-2.25 -3.5 1.34629120178
-2.0 -3.5 1.11803398875
-1.75 -3.5 0.901387818866
-1.5 -3.5 0.707106781187
-1.25 -3.5 0.559016994375
-1.0 -3.5 0.5
-0.75 -3.5 0.5
-0.5 -3.5 0.5
-0.25 -3.5 0.5
0.0 -3.5 0.5
0.25 -3.5 0.5
0.5 -3.5 0.5
0.75 -3.5 0.5
1.0 -3.5 0.5
1.25 -3.5 0.559016994375
1.5 -3.5 0.707106781187
1.75 -3.5 0.901387818866
2.0 -3.5 1.11803398875
2.25 -3.5 1.34629120178
2.5 -3.5 1.58113883008
2.75 -3.5 1.82002747232
3.0 -3.5 2.06155281281
3.25 -3.5 2.30488611432
3.5 -3.5 2.5495097568
3.75 -3.5 2.79508497187
4.0 -3.5 3.04138126515
4.25 -3.5 3.28823660949
4.5 -3.5 3.53553390593
4.75 -3.5 3.78318648761
-5.0 -3.25 4.00780488547
-4.75 -3.25 3.75832409459
-4.5 -3.25 3.5089172119
-4.25 -3.25 3.2596012026
-4.0 -3.25 3.0103986447
-3.75 -3.25 2.7613402543
-3.5 -3.25 2.51246890528
-3.25 -3.25 2.26384628453
-3.0 -3.25 2.01556443707
-2.75 -3.25 1.76776695297
-2.5 -3.25 1.52069063257
-2.25 -3.25 1.2747548784
-2.0 -3.25 1.0307764064
-1.75 -3.25 0.790569415042
-1.5 -3.25 0.559016994375
-1.25 -3.25 0.353553390593
-1.0 -3.25 0.25
